I-mV,II-mV,V1-mV
4.333961506722063,4.336852141431101,4.398452663329403
4.333937706585986,4.336867286972241,4.398520457656411
4.334037955644009,4.33696537238153,4.398525506170124
4.3340430041577225,4.3369112811631725,4.398568057928565
4.334055986050128,4.336917050893131,4.398449057248178
4.334032185914051,4.336865844539752,4.398189419400061
4.3339701613170005,4.336703570884679,4.398343759676441
4.333939149018476,4.336710783047127,4.3980026243926655
4.334014876724176,4.33669780115472,4.398211055887404
4.334386303090232,4.336937966164229,4.398572385226034
4.334273072139804,4.336997827112545,4.398587530767174
4.334184362541697,4.336872335485955,4.398671191851568
4.334179314027983,4.336891808324563,4.3986567675266715
4.334180035244228,4.336928590353047,4.398679846446505
4.334214653623977,4.336883874945872,4.3987519680709815
4.334161283621864,4.336931475218026,4.398697876852624
4.334313460249511,4.336923541839334,4.3987029253663374
4.333838899960452,4.336716552777085,4.398816156316766
4.332097883945576,4.334921445543852,4.399756622299946
4.331913252586916,4.33348334035178,4.399822974194466
4.340396919274147,4.340514477522044,4.395129298873502
4.357002202093732,4.352566000972152,4.391068851415446
4.353960111973293,4.350627371706209,4.395179784010636
4.342086728935643,4.342277851240507,4.3996390640520495
4.336967536030265,4.3384755991980795,4.399105364030919
4.335636170842419,4.337457241860464,4.3987000405013585
4.334782250808612,4.336803098726457,4.398842841317823
4.334433903362387,4.336521103174752,4.398852217129004
4.334280284302252,4.336419411684239,4.398806780505584
4.3342341264625865,4.336409314656812,4.398808222938074
4.334178592811739,4.336342241546049,4.3989149629423
4.334249272003726,4.3362593016779005,4.398900538617404
4.334162726054354,4.33627877451651,4.398861592940187
4.334201671731571,4.336243434920515,4.398835629155375
4.33422258700267,4.3362117014057455,4.398879623346306
4.334190132271655,4.336104240185275,4.398886114292509
4.334294708627146,4.336195113432115,4.398911356861076
4.334267302409845,4.336102076536541,4.3990858911923105
4.334385581873987,4.336015530587169,4.399171715925438
4.334519006879271,4.33596432423379,4.399268358902237
4.334640892424637,4.335920330042859,4.39925826187481
4.334811820674647,4.33597658490995,4.3993044197144755
4.335075785820233,4.336082603697932,4.399351298770386
4.3353440782632875,4.336127319105108,4.3992092191701655
4.33539600583291,4.336186458837179,4.399170994709193
4.335592897867732,4.336473502902597,4.398834186722885
4.335201998663067,4.336880268864648,4.398216104401118
4.334919281895118,4.336842765619919,4.398277407781923
4.334609880126112,4.336763431832995,4.398296159404287
4.334422363902471,4.336673279802398,4.398328614135302
4.334326442141917,4.336687704127294,4.398407226705982
4.334240617408788,4.3366206310165305,4.398484396844172
4.33412738645836,4.336649479666321,4.398400014543534
4.334195902001613,4.3365989945291865,4.39838270535366
4.334218980921446,4.336606927907879,4.398397129678555
4.334169217000557,4.336611255205348,4.398429584409569
4.334153350243172,4.336593224799229,4.398395687246066
4.334268744842335,4.336624958313999,4.398402178192268
4.334263696328622,4.336614140070327,4.398405784273492
4.33434807862926,4.336648758450076,4.3983625112988065
4.3344036122801075,4.336751171156833,4.398291110890574
4.334418757821247,4.336795165347764,4.398257213727069
4.334339424034322,4.3367764137254,4.398273801700699
4.3343819757927635,4.336798771428989,4.398294716971797
4.334320672411959,4.336845650484898,4.398218989266097
4.334414430523778,4.336915608460641,4.3982197104823415
4.334356012007952,4.336851420214857,4.398278128998168
4.334351684710484,4.336852862647346,4.398249280348377
4.334375484846561,4.336947341975411,4.398308420080449
4.334366830251624,4.336996384680055,4.398189419400061
4.33436178173791,4.336757662103037,4.398301207918001
4.334332211871875,4.336875941567179,4.398197352778754
4.334352405926729,4.336953832921614,4.398187976967572
4.334340145250567,4.336928590353047,4.398187976967572
4.334276678221028,4.336889644675829,4.398251443997112
4.334395678901414,4.3368845961621165,4.398283177511882
4.334322114844449,4.336925705488068,4.398265147105762
4.33434952106175,4.336943735894187,4.398182928453858
4.334397121333904,4.336929311569292,4.398233413590992
4.334350242277994,4.336953832921614,4.398202401292467
4.334341587683057,4.336961766300306,4.39816345561525
4.334352405926729,4.336975469408957,4.39814542520913
4.334294708627146,4.336938687380474,4.398173552642676
4.334287496464699,4.336955275354104,4.398142540344151
4.334325720925672,4.3370072029237265,4.398159849534026
4.334386303090232,4.337005039274993,4.398164176831495
4.334422363902471,4.336992778598832,4.398165619263984
4.334351684710484,4.337091585224365,4.39811513412685
4.334436788227367,4.337041821303476,4.398185813318837
4.3342860540322095,4.336924984271823,4.398070418719674
4.334292544978413,4.336984124003894,4.397753083571975
4.33420599902904,4.336836995889961,4.3978836237122785
4.334223308218915,4.336883153729627,4.397657883027666
4.334421642686227,4.336956717786593,4.397885787361012
4.334609880126112,4.337091585224365,4.398174995075165
4.3345990618824395,4.337095191305589,4.398123788721787
4.3344540974172405,4.337020906032378,4.398197352778754
4.33448871579699,4.337046148600945,4.398280292646902
4.33448871579699,4.337151446172681,4.39820889223867
4.334521891744249,4.337153609821415,4.398263704673273
4.334506746203109,4.337147118875213,4.39820600737369
4.3345738193138725,4.337179573606226,4.3981497525065985
4.333873518340201,4.336567982230662,4.398638015904308
4.332238521113307,4.3350072702769795,4.399317401606882
4.332529892476194,4.3339954038855675,4.399791240679695
4.345227625681616,4.3427646722057265,4.393955158827016
